cmu,ipa,homolog,v_or_c,sonority,manner,placerough,place,voicing,position,height,voweltype,voicingpair,lang,count
a,ʌ,AH,vowel,3: vowel,vowel,,,,central,open,monophthong,,en,1752984.0
b,b,B,consonant,1: obstruents,plosive,labial,labial,voiced,,,,p,en,346454.0
tʃ,tʃ,CH,consonant,1: obstruents,affricate,,postalveolar/palatal,voiceless,,,,tʃ,en,78718.0
ð,ð,DH,consonant,1: obstruents,fricative,,dental/alveolar,voiced,,,,θ,en,561905.0
f,f,F,consonant,1: obstruents,fricative,labial,labial,voiceless,,,,f,en,303292.0
ɡ,ɡ,G,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiced,,,,k,en,173972.0
i,i,IY,vowel,3: vowel,vowel,,,,front,close,monophthong,,en,739292.0
ɟʝ,dʒ,JH,consonant,1: obstruents,affricate,,postalveolar/palatal,voiced,,,,tʃ,en,89166.0
k,k,K,consonant,1: obstruents,plosive,dorsal,velar/uvular,voiceless,,,,k,en,557643.0
m,m,M,consonant,2: nasal/approximant,nasal,labial,labial,,,,,,en,544406.0
ŋ,ŋ,NG,consonant,2: nasal/approximant,nasal,dorsal,velar/uvular,,,,,,en,218981.0
s,s,S,consonant,1: obstruents,fricative,coronal,dental/alveolar,voiceless,,,,s,en,851225.0
θ,θ,TH,consonant,1: obstruents,fricative,,dental/alveolar,voiceless,,,,θ,en,112878.0
u,u,UW,vowel,3: vowel,vowel,,,,back,close,monophthong,,en,310148.0
j,j,Y,consonant,2: nasal/approximant,approximant,,postalveolar/palatal,,,,,,en,191797.0
c,c,c,,,,,,,,,,,,
d̪,d̪,d,,,,,,,,,,,,
e,e,e,,,,,,,,,,,,
l,l,l,,,,,,,,,,,,
n,n,n,,,,,,,,,,,,
o,o,oo,,,,,,,,,,,,
p,p,p,,,,,,,,,,,,
r,r,r,,,,,,,,,,,,
t̪,t̪,t,,,,,,,,,,,,
w,w,w,,,,,,,,,,,,
x,x,x,,,,,,,,,,,,
ç,ç,c?,,,,,,,,,,,,
ɟ,ɟ,f,,,,,,,,,,,,
ɣ,ɣ,v,,,,,,,,,,,,
ɲ,ɲ,ng,,,,,,,,,,,,
ɾ,ɾ,?,,,,,,,,,,,,
ʃ,ʃ,s,,,,,,,,,,,,
ʎ,ʎ,y,,,,,,,,,,,,
ʝ,ʝ,j,,,,,,,,,,,,
β,β,b,,,,,,,,,,,,
