,word,lang
0,laudorio,eu
1,ahobero,eu
2,difamatu,eu
3,narridura,eu
4,lizunki,eu
5,berezitasun,eu
6,hedadura,eu
7,artisautza,eu
8,zalantza,eu
9,zinetika,eu
10,lizentziadun,eu
11,megalopoli,eu
12,monopolista,eu
13,moskatel,eu
14,nabaritasun,eu
15,ankerkeria,eu
16,laudorioak,eu
17,aditu,eu
18,eskuindar,eu
19,harrigintza,eu
20,terapeutika,eu
21,erreboilo,eu
22,deserosotasun,eu
23,beneratu,eu
24,berme,eu
25,estalpe,eu
26,biplano,eu
27,mauka,eu
28,diluzio,eu
29,egoismo,eu
30,garraztu,eu
31,asaldatu,eu
32,funtzionario,eu
33,karnaba,eu
34,umorista,eu
35,indibidualista,eu
36,gonbidatu,eu
37,modernismo,eu
38,pertsuasio,eu
39,programazio,eu
40,erreformista,eu
41,gidoilari,eu
42,erregela,eu
43,totalitarismo,eu
44,erpin,eu
45,birologi,eu
46,enbaxadoretza,eu
47,ehorzketa,eu
48,faltsifikazio,eu
49,industrializazio,eu
50,mozkor,eu
51,jaulkipen,eu
52,laxka,eu
53,noblezia,eu
54,asmatzaile,eu
55,parentesi,eu
56,penitentzia,eu
57,habe,eu
58,selektibitate,eu
59,espasmodiko,eu
60,zanpatu,eu
61,oinazegarri,eu
62,zuritu,eu
63,esperientzi,eu
64,antipatia,eu
65,pertsonalizatu,eu
66,elaborazio,eu
67,orokortasun,eu
68,zorabio,eu
69,humanista,eu
70,sumagaitz,eu
71,gutxitze,eu
72,monolitiko,eu
73,ugaritasun,eu
74,kamisoi,eu
75,optika,eu
76,busti,eu
77,ebakiondo,eu
78,polarizazio,eu
79,urruntasun,eu
80,narras,eu
81,neketsu,eu
82,pana,eu
83,kutxa,eu
84,konformazio,eu
85,delegatu,eu
86,igarpen,eu
87,arretaz,eu
88,erauzgailu,eu
89,ordenazio,eu
90,pikota,eu
91,katedra,eu
92,bizkortasun,eu
93,idazkaritza,eu
94,zatitxo,eu
95,espezifikotasun,eu
96,transzendentzia,eu
97,huskeria,eu
98,osotasun,eu
99,handitasun,eu
100,lehendakari,eu
101,kontrairaultzaile,eu
102,erru,eu
103,diana,eu
104,barregarri,eu
105,gerontologia,eu
106,belarjale,eu
107,laudagarria,eu
108,masokismo,eu
109,bitxikeria,eu
110,aurreratze,eu
111,leuntasun,eu
112,printzipio,eu
113,herabetasun,eu
114,kitzikapen,eu
115,lelo,eu
116,artxipelago,eu
117,hezetasun,eu
118,igorle,eu
119,grabitatu,eu
120,marigorringo,eu
121,bakezaletasun,eu
122,espora,eu
123,harlauza,eu
124,biztanle,eu
125,hizlari,eu
126,eliztar,eu
127,ordaintzaile,eu
128,hipodromo,eu
129,motxila,eu
130,berdintasun,eu
131,taktikari,eu
132,hartze,eu
133,higadura,eu
134,basilika,eu
135,falko,eu
136,koherentzia,eu
137,osatu,eu
138,atzerriratu,eu
139,arinkeria,eu
140,alderdikoi,eu
141,birkokatze,eu
142,kandela,eu
143,erabilera,eu
144,xuxurlatzaile,eu
145,azidotasun,eu
146,erbesteratze,eu
147,zinbria,eu
148,atxiki,eu
149,konstantzia,eu
150,dezibelio,eu
151,goretsi,eu
152,mero,eu
153,kultibadore,eu
154,idiosinkrasia,eu
155,berritzaile,eu
156,epailetza,eu
157,manati,eu
158,metronomo,eu
159,detektibe,eu
160,cowboy,eu
161,ausardia,eu
162,zurda,eu
163,bahekin,eu
164,koral,eu
165,kontrapisu,eu
166,zabalkunde,eu
167,entzefalitis,eu
168,ezgaitu,eu
169,artzain,eu
170,azaletik,eu
171,izapidetu,eu
172,hustu,eu
173,bidegabekeria,eu
174,monoziklo,eu
175,biaduktu,eu
176,aluminio,eu
177,logela,eu
178,konpendio,eu
179,konbergentzia,eu
180,bazterketa,eu
181,esamolde,eu
182,adeitasun,eu
183,prebentibo,eu
184,ugaritze,eu
185,distira,eu
186,idazkera,eu
187,lerde,eu
188,metaketa,eu
189,propaganda,eu
190,txindata,eu
191,gogo,eu
192,estraditatu,eu
193,gama,eu
194,kolikoak,eu
195,isolatzaile,eu
196,berritasun,eu
197,oxidazio,eu
198,granada,eu
199,kualifikazio,eu
200,berregituratu,eu
201,doilorkeria,eu
202,antzinatasun,eu
203,baieztapen,eu
204,harridura,eu
205,botanikari,eu
206,koartza,eu
207,eragozpen,eu
208,tetanosa,eu
209,ezkailu,eu
210,narrazio,eu
211,gogortasun,eu
212,paleta,eu
213,haizetako,eu
214,estetika,eu
215,adar,eu
216,karikatura,eu
217,dibertsifikatu,eu
218,esfortzu,eu
219,insinuazio,eu
220,elkartruke,eu
221,altzari,eu
222,eskote,eu
223,prezipitazio,eu
224,sasi,eu
225,axolagabekeria,eu
226,tindu,eu
227,askatu,eu
228,barroko,eu
229,lardaskeria,eu
230,berrespen,eu
231,degradazio,eu
232,indigo,eu
233,leku,eu
234,hasiera,eu
235,parakaidismo,eu
236,solstizio,eu
237,jendetza,eu
238,tortilla,eu
239,anoraka,eu
240,ipurdi,eu
241,kronologiko,eu
242,elizgizon,eu
243,hoztasun,eu
244,kondentsazio,eu
245,antisorgailu,eu
246,hazpitarte,eu
247,desordena,eu
248,zurgin,eu
249,monotonia,eu
250,erreakzionario,eu
251,saltzaile,eu
252,enpresari,eu
253,topografia,eu
254,urologo,eu
255,langileria,eu
256,ahultasun,eu
257,doako,eu
258,zigorgabetasun,eu
259,mimosa,eu
260,azpimarraketa,eu
261,korrelatu,eu
262,gaitzesgarri,eu
263,kezka,eu
264,bariantza,eu
265,txepetx,eu
266,asmatiko,eu
267,trebe,eu
268,desegite,eu
269,desitxuratu,eu
270,barruti,eu
271,oilategi,eu
272,espetxeratu,eu
273,leotardo,eu
274,irekitasun,eu
275,planetario,eu
276,ospe,eu
277,erdeinu,eu
278,galtza,eu
279,eranskin,eu
280,besaulki,eu
281,menpekotasun,eu
282,handiagotze,eu
283,zalantzan,eu
284,hurbildu,eu
285,sedimentu,eu
286,uhar,eu
287,zizelkatu,eu
288,xerlo,eu
289,autobiografiko,eu
290,dirdiratu,eu
291,moralgabetasun,eu
292,mutilatu,eu
293,interpretazio,eu
294,itxura,eu
295,orro,eu
296,kapelagile,eu
297,pibote,eu
298,gerri,eu
299,deuseztatu,eu
300,erre,eu
301,desertore,eu
302,emantzipazio,eu
303,bolada,eu
304,altzariak,eu
305,ipurterrea,eu
306,ukaezin,eu
307,behatxulo,eu
308,eskatzaile,eu
309,ahoskera,eu
310,desegoki,eu
311,bertikalki,eu
312,asaldura,eu
313,dikzio,eu
314,euforia,eu
315,maskulinitate,eu
316,ortodontista,eu
317,zatiketa,eu
318,plaza,eu
319,psikoanalisi,eu
320,sentsual,eu
321,muda,eu
322,itzulipurdi,eu
323,udalerria,eu
324,transgresio,eu
325,ausart,eu
326,apropos,eu
327,konbinazio,eu
328,zitrikoa,eu
329,ezkutatze,eu
330,zuzengarri,eu
331,legegabekeria,eu
332,ezkor,eu
333,ganba,eu
334,murrizketa,eu
335,saihestu,eu
336,tapoi,eu
337,lodiera,eu
338,sastada,eu
339,eguneraketa,eu
340,talde,eu
341,diagonal,eu
342,irudikatu,eu
343,zotin,eu
344,eman,eu
345,neurketa,eu
346,pendulu,eu
347,quorum,eu
348,naufragio,eu
349,xukatu,eu
350,erresaka,eu
351,eskekotasuna,eu
352,hegazkinlari,eu
353,bereizgarri,eu
354,ipurtargi,eu
355,gobernuko,eu
356,likore,eu
357,gailen,eu
358,kiskali,eu
359,difamazio,eu
360,ilogiko,eu
361,maisutasun,eu
362,robotika,eu
363,sozialismo,eu
364,subiranotasun,eu
365,arnasestu,eu
366,argibide,eu
367,esperimentazio,eu
368,eskukada,eu
369,laktosa,eu
370,urduritasun,eu
371,originaltasun,eu
372,xahutu,eu
373,transistore,eu
374,geografiko,eu
375,hipnotizatu,eu
376,masusta,eu
377,estatistika,eu
378,zurrunbilo,eu
379,aristokrazia,eu
380,kalkulu,eu
381,kontserbazio,eu
382,iguripen,eu
383,predestinatu,eu
384,txertatze,eu
385,magenta,eu
386,fisiologiko,eu
387,prebentzio,eu
388,transatlantiko,eu
389,tuberkulosi,eu
390,antibiotiko,eu
391,ausardiaz,eu
392,ideologia,eu
393,hantura,eu
394,aireratze,eu
395,erregresio,eu
396,batuketa,eu
397,sutondo,eu
398,zeruertz,eu
399,barrakuda,eu
400,bizar,eu
401,jarraitutasun,eu
402,egolatra,eu
403,ezinegon,eu
404,mugikortasun,eu
405,giltzarrapo,eu
406,sarde,eu
407,errepikapen,eu
408,nahitako,eu
409,deprimitu,eu
410,kaleratu,eu
411,mozkorkeria,eu
412,foke,eu
413,eszeptizismo,eu
414,tapiz,eu
415,liskar,eu
416,odoltsu,eu
417,puzgarri,eu
418,moderazio,eu
419,iraunkortasun,eu
420,plazebo,eu
421,lasaitasun,eu
422,maindire,eu
423,bataio,eu
424,arbel,eu
425,kanpoalde,eu
426,susmo,eu
427,lasto,eu
428,karpa,eu
429,atzamarkada,eu
430,inposizio,eu
431,lila,eu
432,semantika,eu
433,gaixobera,eu
434,ustelkeria,eu
435,karrerape,eu
436,bertigo,eu
437,gabezia,eu
438,gorotzak,eu
439,hautagai,eu
440,perfekzionista,eu
441,simulagailu,eu
442,gozotu,eu
443,labirinto,eu
444,irakasle,eu
445,lokomotor,eu
446,piperrauts,eu
447,ihesaldi,eu
